APPLICATION REF,DATE,RATING,FEEDBACK - POSTIVE,FEEDBACK - IMPROVEMENT,FEEDBACK - NEUTRAL,
Unknown - emailed feedback,17-Jan-2016,n/a,"1) I am relieved I have been able to make my application online and at the weekend, as I did not feel able to discuss the matter at work as colleagues would have been listening.

2) The form was simple and straight forward and I was able to navigate it easily. ","1) I would have liked the form to be available on the access to work website, although I understand this may be a new system you are trialling. 

2) Working for a Government department I understand how the internet is being used more, if customers are happy to use it then there should be an acceptable email policy in each department. 

3) A separate section before Submit to add anything I felt I had forgotten to mention would have been helpful, or the ability to go back to the previous page and add further information if necessary.
","


",
2DA1B,25-Jan-2016,Satisfied,,"1) Give examples of the type of answers you either receive or expect.
",,
2EC81,26-Jan-2016,Satisfied,"1) It was great, no need to improve it.",,,
2FF09,27-Jan-2016,Satisfied,1) The service appears to be simple enough to use easily.,,,
09BA6,27-Jan-2016,Satisfied,,"1) Possibly use fewer close-ended questions e.g., you ask do we know what would help us? Yes or No; but for me I know a little but am wondering if there is anything else.
",,
9AB1C,26-Jan-2016,Satisfied,,,,
42F94,25-Jan-2016,Satisfied,,,,
184BE,27-Jan-2016,Satisfied,,,,
406D9,21-Jan-2016,Satisfied,,"1) options to have current employer and option to list where and when you are moving to new
",,
489B3,22-Jan-2016,"Neither satisfied nor dissatisfied
",,,I'd like to see the outcome before I make a comment,
690A5,25-Jan-2016,Satisfied,,,,
771CC,24-Jan-2016,Satisfied,,"1) You could add a back button so you could go back and amend/add items you remember along the way. At the moment you can press back on your browser to see the previous page, but when you move forward again, all that you typed before you went back disappears.

2) Some facility to review the completed document before sending would be useful

3) the opportunity to download a copy for your own records.  Since I can't see what I've sent, I'm not sure that I have completed the form to the best of my ability, or that I haven't missed something out.
",,
5319E,27-Jan-2016,Satisfied,1) I can't thinkof any imporvement it was quick and easy to complete,,,
30290,25-Jan-2016,Satisfied,"1) If the service delivers what is promised, I am very impressed and it will make a huge difference",,,
65080,22-Jan-2016,Satisfied,,,,
A1DFC,21-Jan-2016,Satisfied,,,,
AC66E,24-Jan-2016,Satisfied,,"1) To be able to access this on my surrey work computer as this wasn't avalible to access on my work laptop and I had to send it to my personal iPad.
",,
B9B31,28-Jan-2016,Satisfied,1) Very quick and clear ad simple questions.,,,
B8874,27-Jan-2016,"Neither satisfied nor dissatisfied
",,"1) I am only at the very beginning of the process so I am unsure how it will work out - when I have contacted Access to Work previously it was by telephone so it was possible to discuss issues in more detail
",,
BCD26,25-Jan-2016,Satisfied,,"1) an extra box for additional notes or explaination if needed.
",,
BDA1C,27-Jan-2016,Satisfied,,"1) mention about personalised online form being available on your .gov websites after initial contact has been made with ATW team
",,
E0E5C,24-Jan-2016,"Neither satisfied nor dissatisfied
",,"1) Ability to go back and review what you had written. When I tried to do this I had to fill out a section again.

2) Also, would be useful to see or be able to print out the application before and after submitting it so any changes can be made. I copied and pasted each section into a document as I went along when I realised that could not do this.
",,
ED06D,26-Jan-2016,Satisfied,,,,
ED968,22-Jan-2016,"Neither satisfied nor dissatisfied
",,,,
F4D38,25-Jan-2016,"Neither satisfied nor dissatisfied
",,,,
F5415,25-Jan-2016,Satisfied,1) so far so good.,,,
F8236,26-Jan-2016,Satisfied,,"1) Add a remaining time counter and a way to reset the counter whilst filling in the application. I got timed out as I was writing up.

2) It would also be great to be able to download a PDF version of the completed form after submitting.
",,
FF2AD,25-Jan-2016,"Neither satisfied nor dissatisfied
",,"1) having a Video with BSl relay would be ideal to visual to understand our questions
",,
1D08B,02-Feb-2016,Satisfied,,,,
23F8A,01-Feb-2016,Satisfied,,,,
136B3,02-Feb-2016,Satisfied,,,,
9056A,01-Feb-2016,Satisfied,"nothing at all, very easy indeed",,,
11391,01-Feb-2016,Satisfied,,,,
BEC73,01-Feb-2016,Dissatisfied,1) I was very happy to actually be able to finally complete this application today. ,"1) I sent off my application using this service several weeks ago, only to be told they hadn't received it. I was then told to reapply, when I did, I got all the way to the end of the application and it came up with an error saying I ""didn't have access to view this page"" which meant I couldn't apply again! I had to then email again to ask for a new link, which has now been successful so far!

2) I know this is a new service, so just making sure things like that don't happen again would improve this service greatly, perhaps sending an email out too, to let applicants know their applications were received properly and being looked into. As with mine, I had no idea they hadn't received it until a week later!
",,
D2B39,02-Feb-2016,Satisfied,,,,
F097F,01-Feb-2016,Dissatisfied,"1) Thank you though for trying to providing financial support.  I think that's great :)
","1) I first contacted Access to Work in August 2015.  I have tried calling and emailing, and today I've been prompted to complete this online form. I've yet to speak to a real person.

2) I think it is fantastic that the government is trying to provide support for people with dissabilities, but I find the process you have to go through to get it is impersonal and daunting.  

3) I generally don't mind filling out application forms, but somehow this one made me feel very uncomfortable.

4) Also, it would be good if you would provide an option to review answers given before submitting it and also to print and/or save a copy.

",,
FFCC9,01-Feb-2016,Dissatisfied,,1) Websites https encryption certificate is weak and out of date.,,
0E827,02-Feb-2016,"Neither satisfied nor dissatisfied
",,,,
5AF7A,03-Feb-2016,Satisfied,,,,
6D719,02-Feb-2016,"Neither satisfied nor dissatisfied
",,,,
38F55,02-Feb-2016,Satisfied,It was a fantastic and easy service so I do not think it needs improving.,,,
43CD1,03-Feb-2016,Dissatisfied,Very misleading. I asked for a workstation assessment and all I get is an application form for a grant with no explanation or timescale. I still have no idea if I will receive my assessment.,,,
 '591B8',03-Feb-2016,Satisfied,TEST,,,
A9B0B',02-Feb-2016,Satisfied,,,,
